,date,price,1d,2d,3d,4d,5d
0,2007-02-12,12552.55,12660.4267578125,12721.171875,12679.236328125,12691.3994140625,12736.509765625
1,2007-02-13,12654.85,12690.9658203125,12728.236328125,12719.7265625,12710.5791015625,12667.8466796875
2,2007-02-14,12741.86,12730.490234375,12743.001953125,12661.248046875,12703.1328125,12693.6337890625
3,2007-02-15,12765.01,12798.6396484375,12763.9697265625,12730.919921875,12754.5341796875,12721.2177734375
4,2007-02-16,12767.57,12773.8603515625,12723.9931640625,12686.1474609375,12676.3173828125,12658.91015625
5,2007-02-20,12786.64,12761.1650390625,12746.119140625,12704.2958984375,12701.001953125,12681.125
6,2007-02-21,12738.41,12757.111328125,12714.5439453125,12688.1083984375,12622.8935546875,12609.869140625
7,2007-02-22,12686.02,12694.607421875,12575.6162109375,12416.044921875,12370.888671875,12294.1416015625
8,2007-02-23,12647.48,12581.4091796875,12549.501953125,12587.771484375,12599.4443359375,12590.5322265625
9,2007-02-26,12632.26,12505.94140625,12506.20703125,12529.322265625,12530.017578125,12449.3056640625
10,2007-02-27,12216.24,12267.15234375,12368.583984375,12277.0185546875,12175.458984375,12315.3701171875
11,2007-02-28,12268.63,12231.8583984375,12241.25390625,12223.5634765625,12313.955078125,12309.4140625
12,2007-03-01,12234.34,12148.6484375,12313.03125,12287.5615234375,12280.9755859375,12254.2421875
13,2007-03-02,12114.1,12117.7216796875,12183.462890625,12168.015625,12255.4951171875,12278.87109375
14,2007-03-05,12050.41,12155.25390625,12128.5263671875,12168.4677734375,12254.578125,12226.3076171875
15,2007-03-06,12207.59,12264.99609375,12207.28515625,12208.505859375,12205.0771484375,12032.1552734375
16,2007-03-07,12192.45,12189.591796875,12185.7509765625,12137.111328125,12097.927734375,12070.7236328125
17,2007-03-08,12260.7,12260.66796875,12203.232421875,12171.3408203125,12177.828125,12135.259765625
18,2007-03-09,12276.32,12249.8603515625,12152.0380859375,12206.4384765625,12148.5126953125,12017.0166015625
19,2007-03-12,12318.62,12171.16015625,12188.9814453125,12303.30859375,12201.998046875,12180.2734375
20,2007-03-13,12075.96,12126.0966796875,11992.4375,12008.412109375,12037.0830078125,12165.6923828125
21,2007-03-14,12133.4,11996.5654296875,11991.5166015625,12069.3544921875,12162.068359375,12260.85546875
22,2007-03-15,12159.68,12204.1923828125,12303.5458984375,12393.0830078125,12519.7529296875,12604.0224609375
23,2007-03-16,12110.41,12212.2939453125,12295.0341796875,12382.6259765625,12543.5302734375,12673.6103515625
24,2007-03-19,12226.17,12476.0908203125,12506.94140625,12569.728515625,12702.87109375,12757.3046875
25,2007-03-20,12288.1,12408.08984375,12569.2939453125,12760.240234375,12710.8623046875,12762.734375
26,2007-03-21,12447.52,12665.83984375,12718.50390625,12629.640625,12683.9609375,12673.0390625
27,2007-03-22,12461.14,12504.6767578125,12521.6435546875,12390.1083984375,12372.3466796875,12444.5146484375
28,2007-03-23,12481.01,12562.357421875,12531.021484375,12432.7119140625,12343.3115234375,12349.3984375
29,2007-03-26,12469.07,12404.5224609375,12318.951171875,12257.6669921875,12237.267578125,12208.09375
30,2007-03-27,12397.29,12352.7978515625,12367.94921875,12315.6279296875,12291.572265625,12325.435546875
31,2007-03-28,12300.36,12256.57421875,12296.2822265625,12296.923828125,12202.1787109375,12239.455078125
32,2007-03-29,12348.75,12321.63671875,12322.91796875,12415.96484375,12440.5283203125,12310.2900390625
33,2007-03-30,12354.35,12427.04296875,12419.3603515625,12439.94140625,12459.2109375,12497.0263671875
34,2007-04-02,12382.3,12485.451171875,12533.9951171875,12557.80859375,12587.498046875,12602.6748046875
35,2007-04-03,12510.3,12504.35546875,12550.84765625,12593.7568359375,12594.89453125,12575.0537109375
36,2007-04-04,12530.05,12595.3095703125,12617.59765625,12672.7119140625,12652.3046875,12609.2744140625
37,2007-04-05,12560.2,12569.6396484375,12556.89453125,12537.8681640625,12560.517578125,12659.7744140625
38,2007-04-09,12569.14,12616.197265625,12594.5400390625,12628.94921875,12627.2255859375,12698.998046875
39,2007-04-10,12573.85,12565.4326171875,12553.5341796875,12504.0458984375,12554.5224609375,12647.19140625
40,2007-04-11,12484.62,12512.244140625,12563.091796875,12618.0849609375,12724.3837890625,12803.80078125
41,2007-04-12,12552.96,12632.8857421875,12687.9765625,12740.7685546875,12851.498046875,12866.125
42,2007-04-13,12612.13,12697.064453125,12700.5732421875,12704.53125,12717.8525390625,12692.5986328125
43,2007-04-16,12720.46,12744.6025390625,12742.58984375,12716.228515625,12727.125,12701.3291015625
44,2007-04-17,12773.04,12796.66796875,12804.3212890625,12778.8173828125,12785.541015625,12806.8251953125
45,2007-04-18,12803.84,12825.8310546875,12843.2431640625,12864.1181640625,12865.416015625,12862.2861328125
46,2007-04-19,12808.63,12798.7763671875,12802.1025390625,12824.009765625,12783.7626953125,12773.2529296875
47,2007-04-20,12961.98,12934.44140625,12954.1044921875,12917.9599609375,12893.45703125,12824.2587890625
48,2007-04-23,12919.4,12921.1064453125,12935.88671875,12883.6552734375,12924.794921875,12837.1015625
49,2007-04-24,12953.94,12998.078125,12975.16015625,12929.4365234375,12930.18359375,12945.30078125
