date,1-Month Treasury Constant Maturity Rate_Log_delta,3-Month Treasury Bill: Secondary Market Rate_Log_delta,1-Year Treasury Constant Maturity Rate_Log_delta,2-Year Treasury Constant Maturity Rate_Log_delta,5-Year Treasury Constant Maturity Rate_Log_delta,10-Year Treasury Constant Maturity Rate_Log_delta,Federal Funds Effective Rate_Log_delta,Commercial Paper Interest Rate_Log_delta,ICE BofA US High Yield Index Effective Yield_Log_delta,ICE BofA US High Yield Index Option-Adjusted Spread (OAS)_Log_delta,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity_Log_delta,10-Year Treasury Constant Maturity Minus Federal Funds Rate_Log_delta,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity_Log_delta,U.S. Dollars to Euro Spot Exchange Rate_Log_delta,Crude Oil Prices: West Texas Intermediate (WTI)_Log_delta,Crude Oil Prices: Brent - Europe_Log_delta,CBOE NASDAQ 100 Volatility Index_Log_delta,CBOE DJIA Volatility Index_Log_delta,VIX Volatility Index_Log_delta,Nasdaq Composite Index_Log_delta,NASDAQ 100 Index_Log_delta,Wilshire 5000 Total Market Index_Log_delta,Moody's Seasoned Aaa Corporate Bond Yield_Log_delta,Moody's Seasoned Baa Corporate Bond Yield_Log_delta,Nominal Broad U.S. Dollar Index_Log_delta,Wilshire 5000 to GDP Ratio_Log_delta,SPGSCI_Log_delta,open_Log_delta,high_Log_delta,low_Log_delta,close_Log_delta,adj close_Log_delta,volume_Log_delta,close,Consumer Price Index (CPI)_Log_delta,Retail Sales_Log_delta,Industrial Production_Log_delta,Nonfarm Payrolls_Log_delta,Personal Income_Log_delta,Personal Consumption Expenditures (PCE)_Log_delta,Business Inventories_Log_delta,Consumer Credit_Log_delta,Construction Spending_Log_delta,Money Supply (M2)_Log_delta,Consumer Price Index: All Items: Total for United States_Log_delta,Equity Market Volatility Tracker: Macroeconomic News and Outlook: Other Financial Indicators_Log_delta,Equity Market Volatility Tracker: Exchange Rates_Log_delta,Equity Market Volatility Tracker: Housing And Land Management_Log_delta,Equity Market Volatility Tracker: Competition Matters_Log_delta,Equity Market Volatility Tracker: Government Sponsored Enterprises_Log_delta,Equity Market Volatility Tracker: Taxes_Log_delta,Equity Market Volatility Tracker: Competition Policy_Log_delta,Equity Market Volatility Tracker: Labor Disputes_Log_delta,Equity Market Volatility Tracker: Intellectual Property Matters_Log_delta,Monetary Base; Total_Log_delta,Monetary Base; Currency in Circulation_Log_delta,Swiss Monetary Base Aggregate_Log_delta,Currency in Circulation_Log_delta,"All Employees, Private Service-Providing_Log_delta",Continued Claims (Insured Unemployment)_Log_delta,Real personal consumption expenditures (chain-type quantity index)_Log_delta,Market Value of Marketable Treasury Debt_Log_delta,Coincident Economic Activity Index for the United States_Log_delta,Total Construction Spending: Total Construction in the United States_Log_delta,Industrial Production: Manufacturing: Durable Goods: Semiconductor and Other Electronic Component (NAICS = 3344)_Log_delta,Manufacturers Inventories_Log_delta,Manufacturers Sales_Log_delta,Advance Retail Sales: Retail Trade_Log_delta,Advance Real Retail and Food Services Sales_Log_delta,Advance Retail Sales: Retail Trade and Food Services_Log_delta,Retail Sales: Retail Trade_Log_delta,Retailers Inventories_Log_delta,Real Manufacturing and Trade Industries Sales_Log_delta,Merchant Wholesalers Inventories_Log_delta,S&P CoreLogic Case-Shiller U.S. National Home Price Index_Log_delta,Producer Price Index by Industry: Total Manufacturing Industries_Log_delta,GDP_Log_delta,Real Gross Domestic Product_Log_delta,Real gross domestic product per capita_Log_delta,Real Potential Gross Domestic Product_Log_delta,Federal government current expenditures: Interest payments_Log_delta,Federal government current tax receipts_Log_delta,Federal Government: Current Expenditures_Log_delta,Corporate Profits After Tax (without IVA and CCAdj)_Log_delta,Federal Debt: Total Public Debt_Log_delta
7/1/2010,-0.001616815,-0.001774623,0,0.003552402,0.001516301,-0.001391789,0.014652277,0.025317808,0.001226743,0.001656315,-0.004045859,-0.008941937,0,0.018896308,-0.008993724,-0.016127356,-0.006113648,-0.011802225,-0.017124055,-0.000492186,-0.000262731,-0.000631189,-0.005578815,-0.007498696,-0.003587105,-0.006159449,-0.011878799,-0.000128138,-0.000724363,-0.000498616,-0.000304519,-0.000304519,-0.122328335,1.463999987,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/2/2010,0,0,-0.001746725,0,0.003025721,0.00555557,0.001816531,0.001784122,-0.000408747,-0.001656315,0.005390849,0.002989539,0.003838776,0.012152647,-0.003050298,0.000101291,-0.025377453,-0.018537066,-0.028573372,-0.000598069,-0.000337264,-0.00082904,0.009742596,0.00643089,-0.003142722,-0.002316417,-0.004257317,-0.000324478,-0.000454202,-0.00025681,-0.000449619,-0.000449619,-0.04570326,1.279999971,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/6/2010,0.000808081,0,0.000872981,-0.000887705,-0.004562746,-0.003480686,0,0,-0.001636662,0.000414336,-0.002699057,-0.00249688,-0.00240327,0.003667583,-0.000171671,0.003350847,-0.002941018,-0.004527131,-0.002495289,6.53E-05,0.000176116,0.000236883,-0.003480686,-0.002143624,-0.005000503,0.000565733,0.000251508,-0.000486912,-0.000499538,-0.000474284,-0.000503618,-0.000503618,0.025893001,1.074000001,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/7/2010,0,-0.001777778,-0.001746725,0.001774623,0.004562746,0.006949298,0,-0.001784122,-0.000409584,-0.001658375,0.005390849,0.004987542,0.005758173,-0.005533106,0.00715083,-0.000553501,-0.03994968,-0.030286093,-0.030329884,0.004091302,0.003052926,0.005197271,0.009715552,0.008547061,0.001378677,0.012935698,0.01116664,-0.000584608,-0.000543327,-0.000140021,-5.05E-05,-5.05E-05,0.000810698,1.053333044,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/8/2010,0,-0.001780944,-0.001749782,0,0.001516301,0.005524876,-0.001816531,-0.001787311,-0.004105096,-0.004991691,0.005361943,0.004962789,0.004773279,0.009451565,0.00479552,0.007970966,-0.0115331,-0.012659082,-0.012460877,0.000991143,0.000475625,0.001648029,0.005509656,0.003186407,-0.007736389,0.004037808,0.006960626,-4.22E-05,0.000143518,9.72E-05,0.000270598,0.000270598,0.011610233,1.164000034,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/9/2010,-0.001616815,0.001780944,0,0,0.007547206,0.004123717,0.001816531,0.003571432,-0.002471171,-0.004178861,0.004002674,0.00197824,0.00190295,-0.004661519,0.002101411,0.00319059,-0.012248824,-0.008639126,-0.008133296,0.001308197,0.000911859,0.001332132,0.005479466,0.003176286,-0.001730336,0.003455899,0.003494344,0.000233894,6.13E-05,0.00016142,-9.78E-06,-9.78E-06,-0.054995023,1.159999967,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/12/2010,0,0,0,0.003539827,0,0.001370802,-0.001816531,0,-0.001650846,-0.001257071,-0.001332445,0.001974334,0.000950119,-0.007033277,-0.003901286,-0.004239725,-0.005713302,-0.008603627,-0.00617182,0.000118616,0.00034505,-0.00011747,0,-0.001057642,0.005288773,-0.000454922,-0.006537686,6.01E-05,2.74E-05,7.41E-05,-5.70E-05,-5.70E-05,-0.028956242,1.136667013,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/13/2010,0,-0.001780944,0,0.003527341,0.007490672,0.009543358,0,0,-0.004139079,-0.006309169,0.006644543,0.006879634,0.007568626,0.01549267,0.007551295,0.010442142,-0.001521269,0.002323652,0.001462235,0.002708199,0.001326007,0.002854519,0.009517407,0.005277057,-0.011002493,0.007395253,0.01154349,-9.09E-05,9.19E-05,-1.65E-05,0.000177652,0.000177652,0.007563808,1.209332943,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/14/2010,0,0,-0.005267791,-0.008841791,-0.012012156,-0.01091416,0,-0.005361943,-0.003739876,-0.000844238,-0.003981425,-0.007866314,-0.007568626,0.003783504,-0.000472398,0.000889988,0.006885713,0.002649008,0.003702254,0.000483566,0.000462584,-7.81E-05,-0.013624189,-0.009518845,-0.001174063,-0.000229734,0.00042577,8.93E-05,0.000243406,0.000141624,0.000277013,0.000277013,0.023623066,1.322667003,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
7/15/2010,0,0,0,-0.001777778,-0.009104767,-0.009648593,0.003629768,0.007142888,-0.000832986,0.00210926,-0.008010724,-0.008924204,-0.006669868,0.014372253,-0.001181973,-0.005500918,0.007069624,0.003411283,0.002795641,-4.70E-05,0.00015617,3.90E-05,-0.011034595,-0.007466701,-0.002431548,5.09E-05,0.000967971,0.000324742,0.000217566,0.000204169,8.15E-06,8.15E-06,-0.00704201,1.325999975,0.001687841,0.001487502,0.005265698,-0.001188128,0.001463041,0.001787971,0.005442315,0.00045409,-0.011148582,0.00041678,0.000191207,0.024817548,-0.024218226,-0.024068346,-0.061665759,-0.031782657,0.052182982,0.064229174,-0.146088437,0.036752797,-0.001052981,0.001484725,-0.003590053,0.001294669,0.0011535,-0.002465731,0.002290839,0.002124802,0.001308778,-0.011148582,0.005375948,0.005918643,0.008006775,0.001487502,0.001206103,0.001501068,0.001487502,0.004734882,0.008234289,0.005488838,-0.000454921,-0.000499082,0.005460757,0.007041648,0.00750524,0.003536781,0.014871558,0.012851814,0.004890676,0.021001178,0.009244956
