Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,12459.54,12580.35,12404.82,12474.52,12474.52,327200000
2007-01-04,12473.16,12510.41,12403.86,12480.69,12480.69,259060000
2007-01-05,12480.05,12480.13,12365.41,12398.01,12398.01,235220000
2007-01-08,12392.01,12445.92,12337.37,12423.49,12423.49,223500000
2007-01-09,12424.77,12466.43,12369.17,12416.6,12416.6,225190000
2007-01-10,12417,12451.61,12355.63,12442.16,12442.16,226570000
2007-01-11,12442.96,12544.46,12442.96,12514.98,12514.98,261720000
2007-01-12,12514.66,12561.04,12489.66,12556.08,12556.08,256530000
2007-01-16,12555.84,12585.08,12538.93,12582.59,12582.59,242720000
2007-01-17,12571.46,12614,12550.55,12577.15,12577.15,272720000
2007-01-18,12575.06,12611.91,12547.34,12567.93,12567.93,250690000
2007-01-19,12567.93,12586.84,12523.55,12565.53,12565.53,287480000
2007-01-22,12565.53,12572.58,12450.89,12477.16,12477.16,293400000
2007-01-23,12477.81,12554.23,12468.35,12533.8,12533.8,236760000
2007-01-24,12534.37,12623.45,12531.08,12621.77,12621.77,216920000
2007-01-25,12621.77,12622.65,12487.34,12502.56,12502.56,275780000
2007-01-26,12503.28,12539.09,12431.34,12487.02,12487.02,247020000
2007-01-29,12487.1,12542.7,12481.49,12490.78,12490.78,234510000
2007-01-30,12492.23,12538.45,12459.46,12523.31,12523.31,244040000
2007-01-31,12520.03,12657.02,12505.2,12621.69,12621.69,258410000
2007-02-01,12617.2,12682.57,12616.08,12673.68,12673.68,235130000
2007-02-02,12673.84,12683.93,12638.35,12653.49,12653.49,203610000
2007-02-05,12653.41,12681.21,12629.86,12661.74,12661.74,204140000
2007-02-06,12661.66,12680.57,12633.94,12666.31,12666.31,201010000
2007-02-07,12656.86,12700.28,12630.5,12666.87,12666.87,194020000
2007-02-08,12665.67,12665.83,12575.86,12637.63,12637.63,193820000
2007-02-09,12638.03,12675.68,12545.1,12580.83,12580.83,220330000
2007-02-12,12580.11,12607.51,12536.21,12552.55,12552.55,174980000
2007-02-13,12549.19,12658.22,12549.19,12654.85,12654.85,204940000
2007-02-14,12651.29,12759.4,12651.21,12741.86,12741.86,210880000
2007-02-15,12741.7,12779.03,12728.72,12765.01,12765.01,183280000
2007-02-16,12764.13,12769.17,12744.02,12767.57,12767.57,243560000
2007-02-20,12766.85,12795.93,12704.68,12786.64,12786.64,205760000
2007-02-21,12782.87,12782.87,12707.17,12738.41,12738.41,213470000
2007-02-22,12735.77,12763.73,12650.61,12686.02,12686.02,206860000
2007-02-23,12679.89,12682.13,12628.02,12647.48,12647.48,215430000
2007-02-26,12647.88,12697.23,12608.47,12632.26,12632.26,230080000
2007-02-27,12628.9,12629.38,12086.06,12216.24,12216.24,393300000
2007-02-28,12214.92,12353.47,12186.04,12268.63,12268.63,412820000
2007-03-01,12268.63,12289.22,12059.54,12234.34,12234.34,372010000
2007-03-02,12233.78,12247.4,12107.37,12114.1,12114.1,315180000
2007-03-05,12111.61,12188.84,12039.11,12050.41,12050.41,278770000
2007-03-06,12051.17,12224.41,12050.61,12207.59,12207.59,278810000
2007-03-07,12204.46,12256.94,12178.99,12192.45,12192.45,263540000
2007-03-08,12193.33,12303.64,12193.33,12260.7,12260.7,241070000
2007-03-09,12262.06,12330.88,12228.5,12276.32,12276.32,211040000
2007-03-12,12275.68,12349.95,12246.52,12318.62,12318.62,219580000
2007-03-13,12307.49,12307.57,12071.48,12075.96,12075.96,312340000
2007-03-14,12074.52,12142.94,11939.61,12133.4,12133.4,333450000
2007-03-15,12133.16,12188.12,12105.92,12159.68,12159.68,232600000
2007-03-16,12159.68,12190.36,12082.13,12110.41,12110.41,388660000
2007-03-19,12110.41,12234.67,12110.41,12226.17,12226.17,208480000
2007-03-20,12226.81,12294.03,12213.11,12288.1,12288.1,196620000
2007-03-21,12288.98,12480.45,12263.51,12447.52,12447.52,246000000
2007-03-22,12446.72,12476.28,12408.51,12461.14,12461.14,232700000
2007-03-23,12460.5,12511.05,12448.65,12481.01,12481.01,206410000
2007-03-26,12480.37,12486.78,12367.17,12469.07,12469.07,219960000
2007-03-27,12468.67,12468.67,12377.27,12397.29,12397.29,209340000
2007-03-28,12396.49,12396.49,12257.42,12300.36,12300.36,224830000
2007-03-29,12301.48,12381.91,12267.59,12348.75,12348.75,208160000
2007-03-30,12348.91,12416.68,12242.6,12354.35,12354.35,233630000
2007-04-02,12354.52,12394.98,12324.28,12382.3,12382.3,209420000
2007-04-03,12379.05,12534.27,12379.05,12510.3,12510.3,220470000
2007-04-04,12511.36,12541.51,12495.75,12530.05,12530.05,210130000
2007-04-05,12523.22,12572.47,12500.39,12560.2,12560.2,164930000
2007-04-09,12562.64,12593.6,12555.32,12569.14,12569.14,191590000
2007-04-10,12568.49,12588.56,12549.47,12573.85,12573.85,214690000
2007-04-11,12573.12,12580.03,12455.85,12484.62,12484.62,245470000
2007-04-12,12483.64,12557.35,12428.22,12552.96,12552.96,218300000
2007-04-13,12551.91,12615.38,12530.21,12612.13,12612.13,224240000
2007-04-16,12611.64,12731.18,12611.31,12720.46,12720.46,225020000
2007-04-17,12719.56,12790.02,12707.45,12773.04,12773.04,256880000
2007-04-18,12771.08,12838.46,12728.99,12803.84,12803.84,261950000
2007-04-19,12799.77,12830.08,12734.92,12808.63,12808.63,262590000
2007-04-20,12811.15,12966.29,12810.17,12961.98,12961.98,415650000
2007-04-23,12961.98,12983.92,12916.63,12919.4,12919.4,223290000
2007-04-24,12919.64,12989.86,12901.68,12953.94,12953.94,238400000
2007-04-25,12951.42,13107.45,12951.42,13089.89,13089.89,250170000
2007-04-26,13088.84,13132.8,13068.12,13105.5,13105.5,251620000
2007-04-27,13104.04,13148,13073.4,13120.94,13120.94,270910000
2007-04-30,13120.21,13162.06,13061.53,13062.91,13062.91,264090000
2007-05-01,13062.75,13137.76,13041.3,13136.14,13136.14,248960000
2007-05-02,13133.94,13256.33,13130.53,13211.88,13211.88,251340000
2007-05-03,13206.65,13246.82,13196.03,13241.38,13241.38,247240000
2007-05-04,13243.08,13284.53,13228.78,13264.62,13264.62,236320000
2007-05-07,13264.13,13317.69,13260.8,13312.97,13312.97,206190000
2007-05-08,13309.4,13314.43,13237.56,13309.07,13309.07,225600000
2007-05-09,13300.62,13369.29,13278.35,13362.87,13362.87,237040000
2007-05-10,13359.05,13359.13,13210.9,13215.13,13215.13,224640000
2007-05-11,13212.2,13333.45,13212.04,13326.22,13326.22,257840000
2007-05-14,13325.81,13383.76,13297.04,13346.78,13346.78,199620000
2007-05-15,13346.05,13481.6,13339.47,13383.84,13383.84,265250000
2007-05-16,13486.96,13489.57,13363.93,13487.53,13487.53,237790000
2007-05-17,13487.53,13516.71,13447.79,13476.72,13476.72,195800000
2007-05-18,13476.4,13558.48,13476.4,13556.53,13556.53,282930000
2007-05-21,13556.53,13586.03,13529.14,13542.88,13542.88,215550000
2007-05-22,13544.99,13586.68,13528.98,13539.95,13539.95,201290000
2007-05-23,13540.84,13609.76,13505.17,13525.65,13525.65,208260000
2007-05-24,13522.6,13624.55,13423.9,13441.13,13441.13,240810000
2007-05-25,13441.94,13516.14,13440.07,13507.28,13507.28,183470000
2007-05-29,13507.28,13564.66,13465.35,13521.34,13521.34,205620000
2007-05-30,13517.89,13636.09,13456.73,13633.08,13633.08,224780000
2007-05-31,13633,13673.07,13614.72,13627.64,13627.64,243510000
2007-06-01,13628.69,13692,13624.39,13668.11,13668.11,212780000
2007-06-04,13667.21,13690.38,13618.78,13676.32,13676.32,177830000
2007-06-05,13673.19,13673.51,13551,13595.46,13595.46,223040000
2007-06-06,13590.66,13591.07,13437.31,13465.67,13465.67,236830000
2007-06-07,13463.48,13480.22,13259.82,13266.73,13266.73,298880000
2007-06-08,13267.14,13431.22,13251.53,13424.39,13424.39,242000000
2007-06-11,13424.39,13478.11,13381.64,13424.96,13424.96,183300000
2007-06-12,13424.39,13449.5,13294.61,13295.01,13295.01,233420000
2007-06-13,13287.62,13485.12,13287.62,13482.35,13482.35,253050000
2007-06-14,13482.43,13581.61,13479.35,13553.73,13553.73,228680000
2007-06-15,13556.65,13688.66,13556.49,13639.48,13639.48,425080000
2007-06-18,13639,13667.94,13608.76,13612.98,13612.98,174380000
2007-06-19,13611.68,13652.17,13577.22,13635.42,13635.42,233720000
2007-06-20,13636.56,13674.36,13483.25,13489.42,13489.42,274670000
2007-06-21,13486.66,13564.21,13398.87,13545.84,13545.84,241170000
2007-06-22,13545.03,13545.11,13359.69,13360.26,13360.26,380870000
2007-06-25,13360.09,13488.77,13299.78,13352.05,13352.05,251720000
2007-06-26,13352.37,13452.52,13308.72,13337.66,13337.66,240950000
2007-06-27,13336.93,13433.01,13259.86,13427.73,13427.73,246010000
2007-06-28,13427.48,13498.29,13389.28,13422.28,13422.28,207130000
2007-06-29,13422.61,13524.54,13314,13408.62,13408.62,262110000
2007-07-02,13409.6,13537.87,13409.52,13535.43,13535.43,196410000
2007-07-03,13531.53,13591.69,13531.53,13577.3,13577.3,111580000
2007-07-05,13576.24,13580.06,13513.49,13565.84,13565.84,188840000
2007-07-06,13559.01,13633.63,13537.95,13611.68,13611.68,176040000
2007-07-09,13612.66,13670.46,13609,13649.97,13649.97,192840000
2007-07-10,13648.59,13649.24,13496.17,13501.7,13501.7,274420000
2007-07-11,13500.4,13590.95,13474.79,13577.87,13577.87,224410000
2007-07-12,13579.33,13869.94,13579.17,13861.73,13861.73,300520000
2007-07-13,13859.86,13932.29,13845.88,13907.25,13907.25,223820000
2007-07-16,13907.09,13989.11,13894.98,13950.98,13950.98,209060000
2007-07-17,13951.96,14021.95,13942.85,13971.55,13971.55,266020000
2007-07-18,13955.05,13965.94,13823.6,13918.22,13918.22,324400000
2007-07-19,13918.79,14015.85,13918.79,14000.41,14000.41,265390000
2007-07-20,14000.73,14009.27,13797.67,13851.08,13851.08,377650000
2007-07-23,13851.73,13973.99,13851.73,13943.42,13943.42,237450000
2007-07-24,13940.9,13940.99,13701.59,13716.95,13716.95,296990000
2007-07-25,13718.25,13822.22,13674.84,13785.07,13785.07,266860000
2007-07-26,13783.12,13783.45,13335.3,13473.57,13473.57,426880000
2007-07-27,13472.68,13520.8,13265.47,13265.47,13265.47,337120000
2007-07-30,13266.21,13397.73,13219.14,13358.31,13358.31,295450000
2007-07-31,13360.66,13498.53,13199.79,13211.99,13211.99,319890000
2007-08-01,13211.09,13393.02,13132.65,13362.37,13362.37,355960000
2007-08-02,13357.82,13503.33,13350.42,13463.33,13463.33,264830000
2007-08-03,13462.25,13471.79,13175.24,13181.91,13181.91,301800000
2007-08-06,13183.13,13470.16,13158.58,13468.78,13468.78,311810000
2007-08-07,13467.72,13608.11,13347.17,13504.3,13504.3,273340000
2007-08-08,13497.23,13695.82,13484.79,13657.86,13657.86,288040000
2007-08-09,13652.33,13652.33,13270.68,13270.68,13270.68,362490000
2007-08-10,13270.59,13306.52,13057.86,13239.54,13239.54,338560000
2007-08-13,13239.54,13338.15,13219.46,13236.53,13236.53,215260000
2007-08-14,13235.72,13269.78,13018.27,13028.92,13028.92,269120000
2007-08-15,13021.93,13119.32,12834.24,12861.47,12861.47,272760000
2007-08-16,12861.47,12885.85,12517.94,12845.78,12845.78,457150000
2007-08-17,12848.05,13167.68,12847.81,13079.08,13079.08,423940000
2007-08-20,13079.08,13181.66,12982.75,13121.35,13121.35,231800000
2007-08-21,13120.05,13178.33,13052.17,13090.86,13090.86,204000000
2007-08-22,13090.86,13248.08,13088.26,13236.13,13236.13,205530000
2007-08-23,13236.13,13298.64,13169.15,13235.88,13235.88,198160000
2007-08-24,13235.88,13381.47,13208.65,13378.87,13378.87,186060000
2007-08-27,13377.16,13387.33,13305.55,13322.13,13322.13,152440000
2007-08-28,13318.43,13318.6,13034.78,13041.85,13041.85,230470000
2007-08-29,13043.07,13293.44,13043.07,13289.29,13289.29,227440000
2007-08-30,13287.91,13315.14,13184.59,13238.73,13238.73,193240000
2007-08-31,13240.84,13428.95,13240.84,13357.74,13357.74,234920000
2007-09-04,13358.39,13494.06,13317.5,13448.86,13448.86,262260000
2007-09-05,13442.85,13443.17,13248.24,13305.47,13305.47,231850000
2007-09-06,13306.44,13398.71,13274.82,13363.35,13363.35,203600000
2007-09-07,13360.74,13360.83,13082.17,13113.38,13113.38,238300000
2007-09-10,13116.39,13207.19,13021.93,13127.85,13127.85,221760000
2007-09-11,13129.4,13325.95,13129.15,13308.39,13308.39,200160000
2007-09-12,13298.31,13360.01,13263.03,13291.65,13291.65,195280000
2007-09-13,13292.38,13469.27,13292.38,13424.88,13424.88,209950000
2007-09-14,13421.39,13459.75,13323.84,13442.52,13442.52,204780000
2007-09-17,13441.95,13451.54,13362.37,13403.42,13403.42,169710000
2007-09-18,13403.18,13739.96,13403.18,13739.39,13739.39,277620000
2007-09-19,13740.61,13867.5,13739.88,13815.56,13815.56,276590000
2007-09-20,13813.52,13822.14,13741.01,13766.7,13766.7,200880000
2007-09-21,13768.33,13877.17,13768.25,13820.19,13820.19,419390000
2007-09-24,13821.57,13874.41,13750.93,13759.06,13759.06,236690000
2007-09-25,13757.84,13787.19,13696.31,13778.65,13778.65,213040000
2007-09-26,13779.3,13915.79,13779.3,13878.15,13878.15,206560000
2007-09-27,13879.53,13920.42,13868.15,13912.94,13912.94,156920000
2007-09-28,13912.94,13924.81,13850.27,13895.63,13895.63,203030000
2007-10-01,13895.71,14115.51,13893.51,14087.55,14087.55,205720000
2007-10-02,14087.14,14107.47,14012.11,14047.31,14047.31,169270000
2007-10-03,14038.86,14038.94,13947.73,13968.05,13968.05,178920000
2007-10-04,13967.89,14010.41,13951.63,13974.31,13974.31,143300000
2007-10-05,13969.07,14124.54,13968.83,14066.01,14066.01,183540000
2007-10-08,14065.36,14067.96,14009.67,14043.73,14043.73,116420000
2007-10-09,14043.73,14166.97,14034.39,14164.53,14164.53,176740000
2007-10-10,14165.02,14165.02,14009.51,14078.69,14078.69,163280000
2007-10-11,14079.1,14198.1,13950.25,14015.12,14015.12,235090000
2007-10-12,14016.34,14101.77,14013.74,14093.08,14093.08,178740000
2007-10-15,14092.43,14118.52,13904.32,13984.8,13984.8,220490000
2007-10-16,13986.34,13992.03,13877.9,13912.94,13912.94,229920000
2007-10-17,13920.66,14012.84,13774.67,13892.54,13892.54,315420000
2007-10-18,13887.9,13913.75,13820.35,13888.96,13888.96,205540000
2007-10-19,13888.47,13888.47,13511.94,13522.02,13522.02,332350000
2007-10-22,13521.62,13587.22,13407.49,13566.97,13566.97,229440000
2007-10-23,13568.93,13684.6,13540.88,13676.23,13676.23,206550000
2007-10-24,13675.58,13690.45,13470.16,13675.25,13675.25,259150000
2007-10-25,13677.85,13741.26,13547.63,13671.92,13671.92,274330000
2007-10-26,13675.66,13811.25,13675.25,13806.7,13806.7,311390000
2007-10-29,13807.35,13901.4,13805.31,13870.26,13870.26,207930000
2007-10-30,13869.04,13869.29,13778.41,13792.47,13792.47,189730000
2007-10-31,13792.06,13962.53,13767.68,13930.01,13930.01,277660000
2007-11-01,13924.16,13924.16,13548.93,13567.87,13567.87,335560000
2007-11-02,13569.9,13632.9,13446.02,13595.1,13595.1,279780000
2007-11-05,13592.58,13618.27,13446.91,13543.4,13543.4,259590000
2007-11-06,13542.34,13669.72,13511.86,13660.94,13660.94,252360000
2007-11-07,13646.72,13647.29,13285.63,13300.02,13300.02,273050000
2007-11-08,13299.7,13354,13079.48,13266.29,13266.29,403680000
2007-11-09,13261.17,13262.14,13017.3,13042.74,13042.74,356840000
2007-11-12,13039.16,13162.64,12981.04,12987.55,12987.55,291980000
2007-11-13,12975.11,13319.45,12975.11,13307.09,13307.09,298250000
2007-11-14,13305.47,13367.17,13197.84,13231.01,13231.01,267510000
2007-11-15,13231.01,13262.14,13055.83,13110.05,13110.05,242570000
2007-11-16,13109.48,13211.17,13050.55,13176.79,13176.79,314920000
2007-11-19,13176.3,13176.3,12937.63,12958.44,12958.44,285790000
2007-11-20,12955.92,13107.37,12839.68,13010.14,13010.14,325810000
2007-11-21,13006.65,13007.71,12786.03,12799.04,12799.04,284550000
2007-11-23,12796.07,12980.88,12796.07,12980.88,12980.88,122250000
2007-11-26,12979.99,13037.3,12724.09,12743.44,12743.44,265610000
2007-11-27,12744.78,12991.85,12744.78,12958.44,12958.44,296070000
2007-11-28,12958.04,13325.87,12958.04,13289.45,13289.45,310080000
